Drug Name,Condition,Rating,Content
Metoclopramide,GERD,1,"Reglan (metoclopramide)""I went to the ER with extreme nausea and pain from an ovarian cyst I had. I was given Reglan through an IV before I went home. The nurse told me before he gave it to me that a side effect was having really bad anxiety. Minutes after being given the Reglan I started shaking uncontrollably and broke out in hives all over my body. I had a total freak out moment and have never been that scared in my entire life. DO NOT TAKE REGLAN!!"""
Nexplanon,Birth Control,10,"""I've had this implant since July 2015... I haven't had a period since .. I was on depo for 7 years on and off when I wanted to conceive my 2 year old... I don't like periods anyways... It may have helped clear acne... I may have mood swings but I definitely give this substance a 10"""
Effexor,Depression,7,"""I was on Effexor XR for about 4 years (started at age 18, weaned off at 22). Over the years, my dosage fluctuated between 37.5 and 300 mgs. 
It helped immensely throughout the first year. I was still feeling lethargic and such, but no longer had suicidal thoughts. 
The only side effects I had were ones that appeared when I'd miss a dose. Night sweats, weird dreams, headaches. Annoying, but basically harmless.
After three years of being on this medicine, I realized it was no longer doing things for me that I couldn't do myself. I was supposed to be taking 37.5 mgs daily, but weaned myself off of it over a course of several months (check with your doctor first). I had little to no withdrawal symptoms and no major signs of a returning depression."""
Robaxin,Muscle Spasm,1,"""I took this for several days. Took at 8 pm, 6 am still wide awake and still in pain. So not only was I in horrible pain, I was trying to function with no sleep. Got a different med that worked. New Dr (military), prescribed it again. I told her it didn't work. But had to prove it. Took it again. Same thing. It kept me up all night and didn't help the pain."""
Alprazolam,Anxiety,10,"Xanax (alprazolam)""It works great, and you get tired enough to go to sleep if you need that, but it's best used for short term, as it's very prone to give nasty withdrawals, like psychotic ones, but great benzo compared to Valium. I like this one more, as it just screws a cork in the anxiety, and you can forget about it after 12 hours. The drug is gone fast out as well. Good job!"""
Isosorbide Mononitrate,Angina,2,"""I've been on it 8 days.  The dosage is 30 mg.  I'm having stiff neck.  The most terrible headache.  It is for Angina.  It is helping the chest pain.  They say after a few weeks headaches will subside.  I sure hope so."""
Nitrofurantoin,Bladder Infection,7,"Macrobid (nitrofurantoin)""Macrobid definitely works. I had a terrible bladder infection that I noticed began to clear up within a few days of taking this antibiotic. In my personal experience though, I had terrible side effects. Nausea, dizziness, vomiting, diarrhea, and hot + cold sweats. Although the week felt so hard to get through, please don’t be scared to try the medication. If you’re worried about side effects, make sure you are staying very hydrated and taking it with food. I would recommend having some gravol ready as well just in case. Good luck."""
Levonorgestrel,Emergency Contraception,5,"Plan B One-Step (levonorgestrel)""Hi I was want to share my experience with you ladies. I don't pretend to scare anybody but here's my experience with my Plan B ,I had unprotected sex with my bf back in July. The next day first thing in the morning I took plan B. Two weeks later I found out I was pregnant. It's very rarely to get pregnant after plan B but it does happens. Good luck to you guys."""
Upadacitinib,Rheumatoid Arthritis,6,"Rinvoq (upadacitinib)""I have tried many meds for RA. Was very successful with Xeljanz but had continual sinusitis. Now Rinvoq is not as successful for pain/RA but I get less sinusitis. Also developed very oily skin and acne about my neck face and shoulders. I am 58 and on HRT as well and MRX 10 mg"""
Divalproex sodium,Bipolar Disorder,7,"""Diagnosis of bipolar type 1, with type 2 tendencies.  Been on divalproex 375mg, imipramine 75mg for approximately 6-7months, I have felt the most “normal”, I think in 20+ yrs.  I can now say I remember more things than I forget. The past 4-5 yrs, I would be in mid sentence & forget what I was talking about 
( or a reaction to a medication) activities of daily living are not such a chore, more zest for life. Perfectionist tendencies not as severe, I now have grandchildren, so I have to let go, I regularly care for them too.
The BAD:  I have gained abt 35 lbs in 3-4 months and bad dreams, trashing about in bed.   Any more  weight gain I will have to switch & that is scary.  Scary to gain more weight and scary to start over.  Have had very bad - life threatening reactions to so many mood stabilizers/antidepressants this past 5 Years."""
Levonorgestrel,Birth Control,6,"Liletta (levonorgestrel)""I am 21 years old, First time on birth control although I had looked into options before but decided I wanted to have a baby. I had a miscarriage a month ago now I don't want to have a baby so close after so I needed a B.C. method I wasn't going to forget (pills) or have to go in regularly for (depo) so this seems like a good fit. Insertion was painful but it only lasted about 2/3 minutes and felt like sharp pinching/poking. I feel some cramps (not too bad) and some spotting. I read other women went when they were on their period I still hadn't had my period again but when I do it's moderate lasts about 4 days. I get more cramping then bleeding. I will update with how it affects my period or if cramps continue because this is just day 1"""
Olanzapine,Depression,1,"""Ruins bladder of the  patient"""
Escitalopram,Obsessive Compulsive DisorderOff-label,10,"""Short Answer: From my experience, the escitalopram does work. I currently intake a 10mg sized escitlopram, and it does its job continuously as I take it every morning when I wake up.

Long Answer: I've experienced with both a 5mg size and 10mg size of a escitalopram. I haven't used the 5mg size as prominent as I have with the 10mg size to give my full thoughts on that size, but I can tell you that the 10mg size does work. I take it every morning as soon as I wake up, swallowing it with my saliva or if it doesn't go down all the way, I'd make it go all the way down my throat with a bit of water (never a lot). I didn't notice at first, but after awhile, I realized I haven't been much anxious or fearful as I used to, and that my head had been less busier. After noticing, I could then say that the escitalopram was working, and treats my OCD. It's been so long since I've experienced symptoms of my OCD that I forgot a bit of how it tortured me."""
Finasteride,Androgenetic Alopecia,6,"Propecia (finasteride)""I moved to the Philippines about a year ago, and 6 months ago found out the pharmacies sell it over the counter so I bought every box they had. For me I've had no side effects in the 6 months I've been using. Right now I can't tell if it's regrowing hair, but I can say with a 100% certainty that it's all but stopped massive amounts of hair loss everyday. For that reason alone I give it high marks. I'll give propecia a perfect score once I start seeing hair gain. I recommend."""
Alprazolam,Panic Disorder,10,"Xanax (alprazolam)""Ok.... I started using ecstasy or mdma in 1998 at 13 years old. Even before I smoked weed.  I graduated to weed,  GHB ,shrooms, Valium, Xanax, klonopin, LSD , ketamine, DMT, 2cb, nitrous. Heroin every other opiate too. But I had a close friend die at 30 years old, which made me stop, using opiates, which eventually got me on Xanax and adderall, and that’s it.  I have worked in IT for the last 8 years, and Xanax saved my life"""
Buprenorphine/naloxone,Opioid Use Disorder,10,"Suboxone (buprenorphine / naloxone)""I used it to detox off of oxycodone and Oxycontin on the highest possible dose."""
Lamotrigine,Bipolar Disorder,9,"Lamictal (lamotrigine)""I have been taking Lamictal for almost two months. It has worked great for my Bipolar Disorder. It at first gave me severe stomach pains with diarrhea that subsided after a week or so. I noticed I'm more sensitive to foods now. Like for example I cannot eat tomato products anymore (I used to be allergic when I was younger). And also greasy foods make me very sick (which may be due to my gallbladder removal). But over all good results from this drug!"""
Ceftriaxone,Bone infection,1,"Rocephin (ceftriaxone)""I got this drug two weeks ago because of a persistent jaw bone issue.  The doctor wanted to see if it would improve its outcome.  I cannot tolerate oral antibiotics at this point.  The shot given into my hip was immediately painful down the leg and into the back.  She said it would be painful.  That night it was still very painful and I began getting random nerve pain all over my body, my throat became painful and blisters on the back of my throat.  It was the weekend so didn't call in.  When I did they said they would put it down as an allergic reaction to the shot.   It has taken two weeks for my throat to calm down, the nerve pain throughout the body is much less but still is occurring. There are still blisters on the back of my throat and I feel awful still.  Would never get this drug again for any reason.  This was given as a shot 1000 mg into my hip. I am 70 years old."""
Wellbutrin XL,Major Depressive Disorder,9,"""I was started on 100 mg of Wellbutrin in January, initially did not note much of a mood alteration other then feeling more energetic. I was upped to 200 mg, and I had never felt better in my entire life. I started performing great in school, had a high energy level and motivation. I was happy and felt good. I lost initially 5 pounds and now I lost a total of 20 in three months (note I also was attempting to lose weight). The only side effects I experienced were hot flashes the first week I took 200 mg which was odd but manageable. Also I had insanely vivid dreams. Recently upped to 300 mg, and I feel manic. It is bizarre, this amazing medicine now does not work, my doc said I may possibly have bipolar depression, So I still highly recommend."""
Empagliflozin,"Diabetes, Type 2",7,"Jardiance (empagliflozin)""I am in my50’s 
I Lost 5 pounds 
I take 10 mg Jardiance 
 I take Metformin  as well 
 I prefer this to Tradjenta 
As Tradjenta gave me a constant runny nose that was gross
 Yes I have to get up maybe three times a night to go the bathroom 
 I am thirsty but not as thirsty as I am when my sugar is high 
 I take it at night so I am not as dizzy during the day  
So far so good"""
Anastrozole,Breast Cancer,3,"Arimidex (anastrozole)""Within a month of taking Arimidex. I had so much joints pain, I mention to my oncologist and he said it was arthritis, I said ""No way"" arthritis does not show up in one month"" I stopped taking it after 1 1/2 years. I could not endure the pain."""
Requip,Restless Legs Syndrome,9,"""I take 0.75 mg at 6.00pm. This totally relieves restless legs syndrome for me. Side effects are mild but include profound sleepiness and mildly heightened libido (true!) which are somewhat self-defeating. Because Requip is a dopamine agonist it works alongside iron as a co-factor. Therefore, I need to minimise iron-depleting lifestyle factors as well as taking Requip. That means that I can only have de-caffeineated coffee and that I can't drink alcohol. """
Temazepam,Insomnia,10,"Restoril (temazepam)""If you want to be knocked out for sleep in 20 to 30 minutes
This is for you"""
Aleve,Back Pain,10,"""Aleve is great for back pain.I take one pill in the morning. And one at night before bed time.no pain at all.That's what my M.D. told me to take.thanks Aleve .great job"""
Lofexidine,Opiate Withdrawal,10,"Lucemyra (lofexidine)""I am almost to the last two tapering days and I'm already feeling almost completely healthy and normal. I thought I'd need the maximum 14 day treatment but it looks like the 9 day treatment will be plenty sufficient. I was on fentanyl for months before I went to a methadone clinic to get help and I went there for just over a year and was up to 170mg a day. I was so worried and afraid that I'd end up withdrawing for the maximum of 20 to 35 days because of the research I looked up about the methadone withdrawal time-line stating that the withdrawal can go on for 14 days to just over a month depending on how high your daily dose is and how long you've been taking it. I'm 34 and still in decent health so this medication seemed safe for me but if you have heart or health problems then I would absolutely talk to a knowledgeable doctor if possible before starting this medication just to be cautious.As far as side effects I barely even got dry mouth or lightheaded when standing. It REALLY help"""
Guanfacine,ADHD,10,"""She started at 1mg and we saw very little different and her behavior was out of control for the most part. She started on 2mg this morning and in the morning I saw a big difference playing with her toys calm like a regular kid instead of running and jumping. She seems a little drowsy though... Will that pass? I would hate for her to be drowsy all the time."""
Seroquel,Bipolar Disorder,1,"""Hmm about this medication...I literally do not reccomend it at all! As someone with Bipolar2 I was put on Seroquel for my rapid unstable moods, I was on it for quite some time and I noticed the rapid weight gain not just that but I was literally sleeping all the time! When I was awake I felt like a zombie. Quite frankly it's a nightmare! Thank god I went off it."""
Estradiol,Postmenopausal Symptoms,1,"Estraderm (estradiol)""Terrible. Used other brands for years and never had one issue. Days after starting on Estraderm MX50, I started experiencing symptoms as the patch would not stay in place! No matter where I put it, it comes off within 24 hours. The few hours that it's on, it feels like a candy wrapper stuck to your body! Can't believe that this product is on the market!"""
Ondansetron,"Nausea/Vomiting, Chemotherapy Induced",9,"Zofran (ondansetron)""Overall, it has been the best anti-emetic available for chemotherapy induced nausea and vomiting. The downfall is gastric slowdown-- which can become more pronounced if on vinca alkaloid chemo or opioids."""
Paroxetine,Anxiety,10,"Paxil (paroxetine)""I started taking Paxil about 7 or 8 years ago for anxiety.  I had been in the hospital for an arrythmia at age 24 and it totally freaked me out.  After that, every illness I had I was sure it was my heart and I started to panic and check my pulse frequently. I ended up in the ER about twice a month thinking I was dying. My PCP finally suggested Paxil.  Since then I have had ZERO panic/anxiety attacks.  I have had problems occasionally with ejaculatory dysfunction, but not often enough for me to be that upset.  Besides, the trade-off is feeling better and living normally. It has been great for me and I hope you have a similar experience."""
Trazodone,HeadacheOff-label,10,"""Trazodone has been a miracle for me. It has helped my headaches, which I was having daily. It also has caused me to lose some weight, which makes me feel better. It has also helped with my anxiety. Only problem I have had so far, is that if I take it too late at night, I will feel groggy in the morning. I am on 100mgs."""
Lansoprazole,GERD,10,"Prevacid (lansoprazole)""I have had GERD for many years and have tried everything. Prevacid works the best. I take 30 mgs a day. """
Divalproex sodium,Bipolar Disorder,8,"Depakote ER (divalproex sodium)""I have had three severe manic episodes in my lifetime.  First was not diagnosed.  The 2nd severe mania hit in 02 and I was given zyprexa.  This took the edge off but I would wake up in the early morning manic again, once it wore off.  When depakote was added, I really came down.  I was Manic-episode free 15 yrs, w/ relapse in ‘17.  I was put on zyprexa and lithium but was still flying high and fast - complete manic.  Once high dose of depakote added, I came down for good.  This drug has been critical for resolving my manias.  My experience with it for long term treatment has not been good though - lost a lot of hair, and a lot of enthusiasm and felt like I was in a stupor.  I gained weight, but that has happened on all the useful drugs."""
Qbrexza,Hyperhidrosis,1,"""This medicine was the best until it turned on me.  I started having a blurry vision for about 2 weeks, to the point I was seeing double and I couldn't work or do anything normal.  This all started in August 2022 and today March 2023, I'm still having to go to the eye doctor.  I've been there and spent a lot of money to figure out what's happening with my eyes.  This drug made me develop some sort of ""bump"" in the back of my eye and I ended up having to have a brain MRI.  Luckily that came back clear for tumors/cancer but it still hasn't been a pleasant experience.  I haven't been able to wear contacts like I have my whole life until March 2023 since my eyes are still slowly coming back to normal.  My scans at the eye doctor are getting better so things are looking good and shouldn't have any more set back but this drug totally destroyed my eyes for a while before we figured out what was going on.  I DO NOT recommend these wipes to anyone."""
Restoril,Insomnia,10,"""Best I've had for insomnia."""
Qsymia,Weight Loss (Obesity/Overweight),10,"""I started this medication a month ago. The first few days the side effects were pretty bad so I stayed in bed. It was mostly nausea, dizziness, extreme fatigue & then insomnia...after a few days almost all of those subsided except for the fatigue and insomnia. Now its been about a month and I mostly just suffer from some brain fog and some fatigue, not nearly as bad,  but my appetite is basically gone. I really dont even enjoy food that much anymore & sometimes skip a meal or have to force myself to eat where as before I couldn't stop eating, i have a horrible food addiction.so this has really helped. I lost about 20 lbs my first month. Very happy with this medication and I feel it has saved my life as I am pre diabetic"""
Hydroxyzine Pamoate,Pain,9,"Vistaril (hydroxyzine)""Great pain medication, much better than oxycodone without the side effects."""
Famotidine,GERD,10,"""famotidine is awesome! I would highly recommend it. I have been using it for more than a year and recently I stopped it for 2 weeks and felt awful but not any worse than when I wasn't taking it several years ago.  After restarting it I immediately felt better. It helps my GERD, heartburn, and I can breathe better (probably due to it being an H2 antihistamine) and it helps my anxiety. Overall, I would highly recommend it."""
Buprenorphine/naloxone,Opioid Use Disorder,5,"Suboxone (buprenorphine / naloxone)""I just started to go into withdraw from not using herion for close to 20 hrs and a friend of mine kicked a week ago with the help of Suboxone. He gave me 2 8mg pills instructed me to take 1/2 under tongue and if need be take 2mg more if needed tonight, it's 3 in the afternoon right now. He said it worked wonders for him and will give me more to  ween off of it day 3 And day 4. My question is does this really work to help suppress WD symptoms I'm scared and wanna no what to expect. It's def time for a life change and will do anything to get this monkey off my back. Please give me some advise and any answers and words of strength would be greatly appreciated 
Thank you in advance
Little drummer boy."""
Nexplanon,Birth Control,4,"""I got the Nexplanon in January of this year (2015). I have been bleeding ever since-8 months later. I've also been experiencing some pretty bad acne, which I never had a problem with previously.  Exhausted all of the time. Needless to say it's been a terrible experience."""
Dicyclomine,Irritable Bowel Syndrome,1,"""I've been on this a month and it's been horrible. I have IBS that goes in waves, sometimes I'm fine sometimes my bowels are very unpredictable. This has given me the worst stomach pain I can imagine every day since I began. I have no appetite and I also rarely have bowel movements anymore, but 24/7 I feel like I will have diarrhea.... but I never do. It's miserable, I can barely go anywhere due to the stabbing pain."""
Fluticasone and salmeterol,"Asthma, Maintenance",1,"Wixela Inhub (fluticasone / salmeterol)""VA put me on the Wixela Inhub and just like many other peoples reports it does not work well.  Part of the problem may be that you have to inhale hard likely causing a Venturi Effect  in which the powder flows through an open to constricted pipe, in this case, my lungs.  Please remove this product. It is not effective.  I used Symbicort for many years with no problems.  Now I am taking 5 - 10mg of Prednisone which I don't like.  I typically lead an active life to the degree that I can and using the Wixela Hub has hindered my well being."""
Neupro,Parkinson's Disease,1,"""Severe reaction, but I am allergic to sulfur based drugs. Lasted under a week. Shakes gone first few days, but came back as I developed a reaction."""
Metronidazole,Bacterial Vaginosis,6,"""I just finished my last dose. Yippee! I took Metronidazole 500mg (2 pills) twice a day for 7 days. It is the most disgusting pill I've ever tasted. I'm happy that I read the ratings before I continued my doses. I coated the pills with honey and it was a much better experience. I had side effects for 3-4 days: constant stomach ache, weakness, nausea, and constant metallic taste in mouth. It is quite effective. I stopped having symptoms by the third day. I hope to never have to take this pill again."""
Eszopiclone,Insomnia,9,"""For 29 years I have had spells of being unable to fall asleep.  Then my pain specialist wanted me to try Lunesta. It was wonderful for about 2.5 years.  Now I I am having problems again. Still, I am impressed."""
Ondansetron,Nausea/Vomiting,10,"Zofran (ondansetron)""I literally feel brand new! For a week I couldn’t eat or drink anything and zofran made me feel new. Which is amazing to me because my first pregnancy this didn’t work at all, that’s definitely an example of why it works different for different situations!  I recommend at least trying it to see if it’ll work."""
Azithromycin,Chlamydia Infection,10,"""First time getting an STI or anything of that nature after just starting to be sexually active. I had no symptoms. I'm in my early 20s. I was initially concerned because it was all very new to me. I went to get treatment, took one dose of four pills, my doctor advised me about the side effects and sent me along my way. Worst thing I did was Internet on the way home. Reading about the side effects with horrible cramping and diarrhea really scared me. 

Final verdict: It's been almost six hours after taking the antibiotics and I've experienced no discomfort whatsoever. I feel perfectly fine. There was lots of white, odorless discharge in my underwear but that imo is a small price to pay. Using condoms 4evr now."""
Rabeprazole,Barrett's Esophagus,9,"Aciphex (rabeprazole)""Works well, can manage most foods without any problems.  Note that this medicine does promote food moving through one's ""system"" more quickly so frequent bowel movements and loose stool may be an issue for some."""
Dextroamphetamine,Narcolepsy,8,"Dextrostat (dextroamphetamine)""This gave me the ability to match what I take with my activities at 20 mg X 3 times a day. Days when I don't work or drive I often don't take any. Otherwise, if I know I don't have a meeting or have to grade papers in the evening, I just take in the morning and at noon. (60 mg) This was much better for me than the time release variety which always kept me awake throughout the night."""
Femara,Breast Cancer,9,"""For the past two years I've used Femara with no side effects at all, and still cancer free for 5 years now."""
Adderall XR,ADHD,10,"""Adderall XR has been amazing for me. I was diagnosed with ADHD at age 5, and was on and off of stimulants since original diagnosis. As a kid I would go through bouts of taking it and bouts of pretending to take it. I tried to be unmedicated as an adult, but that only produced anxiety, likely due to my naturally occurring rapid thought processing and tendency to fail to complete projects (distracted by new thoughts). My quality of life is significantly better when I take Adderall and I see no shame to be had in that. I experience dry mouth fairly often, but overall it is amazing and totally worth it. I am however nervous about facing pregnancy without it, as well as breast feeding. This medicine really makes a difference in my life."""
Prolia,Osteoporosis,1,"""1st Prolia needle ok, 2nd needle within 2 weeks I got so much side effects of  joint pain, unbelievable arms legs, even tips of shoulders were sore to touch, I am tired and can’t do what I want to do, my appetite is not good and have lost weight.  I should have looked into Prolia side effects.  I would not wish this on anyone. My  thoughts and prayers go out to anybody who is on this  awful drug Prolia"""
Yaz 28,Birth Control,10,"Nikki (drospirenone / ethinyl estradiol)""I went on Nikki for bad PMS symptoms, acne, and birth control in general. My moods were very stable, my skin was clear, and ultimately I had a great experience on it. No PMS either! Only symptom was that my libido was somewhat lower, and I switched to lo loestrin for that for a few months, but I’m about to switch back because I liked this pill a lot better!"""
Fluticasone nasal,Allergic Rhinitis,10,"Flonase (fluticasone)""Never used a nasal spray but Flonase is a godsend! Didn't know I had allergies but so days made me feel so much better!!!"""
Divalproex,Epilepsy,1,"Depakote (divalproex sodium)""I'm epileptic I have been having seizures since my early teens I’m 52 now I was born with a tumor in my brain. The tumor has been removed but the damage of the scar tissue is causing me to have seizures. I have been taking Depakote 2000mg a day and I take with it Keppra 1000mg a day for 2 years and the side effects suck, I can’t sleep, I stutter, I’m always anxious and have tremors.  I have my ups and downs mood swings, I lost my hair, I’m easily angered or frustrated and nervous. I also have high blood pressure now and have to take high blood pressure meds. I smoke THC and CBD to help. I’m usually nauseous and I have digestive problems if you know what I mean. I still have seizures mainly blackouts I haven’t had a grandmal seizure for a bit. But I would like to know if anyone came down with high blood pressure when started taking the meds?"""
Zofran,Nausea/Vomiting,7,"""I have an extreme fear of nausea and vomiting. It’s so bad I get nauseated when someone coughs. I was given zofran and it was perfect for when my anxiety was making the fear harder to deal with. Then I got salmonella poisoning and it didn’t work whatsoever. I took three 4mg 20 minutes apart hoping it’d help and it didn’t. A few days after taking antibiotics for salmonella poisoning, I’m still a little nauseated (zofran doesn’t work) and can’t do much. Thinking about going and getting a higher dose."""
Levofloxacin,Bronchitis,3,"Levaquin (levofloxacin)""I was prescribed Levaquin for a URI and a UTI.  I have a previous history of c. difficile from last summer and my Infectious disease doctor advised me to be careful taking any antibiotics due to chance of c  difficile recurring.  On the 7th day of taking, I woke up with a semi-frozen right shoulder.  Iced it for 4 days with minimal improvement, went to see my PCP on the 5th day, he ordered a shoulder x-ray followed by an MRI.  It revealed a 50% tear of the tendon in my shoulder due to the Levaquin.  I am 65 and not a surgical candidate.  Will never take this drug again!  My sister-in-law warned me about this but I thought she was exaggerating!"""
Mounjaro,"Diabetes, Type 2",10,"""I started Mounjaro on 06/06/23 weighing 272 pounds. I am 64 1/2 years old and a Type 2 diabetic for the past 15 years on only metformin before Mounjaro. It has been life-altering, life-changing! I started on the 2.5 weekly dosage. I have been on the 5 weekly dosage for the second month now. I have lost a total of 33 pounds as of today, my HbA1c went from a 10.3"""
Bupropion,Smoking Cessation,10,"Zyban (bupropion)""I am 58 and smoked since I was 14. In the last 10 years smoked between 20-25 per day - roll me owns. I have tried Patches - Gum - hypnosis - I was very scared about giving up - then the Doctor gave me Zyban. I did a lot of reading on the Web and there is more scary stuff than good stuff - found this support group with so much positive things to say - I did it - it has been 5 days since my last smoke and it has been mentally wonderful. Still get the physical feeling - but they are getting better. I love this medicine.  """
Paroxetine,Obsessive Compulsive Disorder,10,"Paxil (paroxetine)""I have been taking Paxil for 5 years. Since I turned 50 and my blood pressure shot up to 210/102. Paxil was the biggest blessing. NO, I DID not gain any weight. Well I gained two pounds only because I ate my way through them."""
NuvaRing,Birth Control,3,"""I started Nuvaring about 5-6 months ago. It started out great because I LOVED not having to remember it every single day. I didn't notice the subtle changes, which makes me disappointed. Side note: my medicine is delivered and nuvaring had to be refrigerated. The postal carrier kept refusing to deliver it if no one was home and would never try to redeliver. The last time my postal carrier refused to deliver, I came off of it completely - and I'm SO glad I did. I thought that I'd been moody due to recent life changes and all. I had no sex drive, I was angry all the time, I was constantly depressed, and my anxiety was through the roof. After the initial ""ring free week"", everything started getting clearer and clearer every day. It was INSANE. The part that sucked was not being told by anyone that I was becoming more irritable every month. Definitely not birth control for me..."""
Levonorgestrel,Emergency Contraception,10,"""I didn't find one review to relate to my specific situation. I decided to have sex while my period was still on, it was on the days where your period is almost gone and you're just leaking  a bit. The condom broke. I panicked because I'm fairly new to having sex. My Bf bought take action, I took it about 6-7 hours after the incident. I was worried b/c my period wasn't off so I knew I would have to wait exactly a month to see if it worked which was nerve wrecking. After i took the pill I bled for about 3 days, weeks after I was very bloated, had increased white discharge , and very dark brown spotting. Yesterday i got my period, exactly a month after taking the pill. Cramps were bad and my period is lighter. RELAX it works it just takes time"""
Buprenorphine,Chronic Pain,9,"Butrans (buprenorphine)""Great improvement with the patch.  I have joint pain and deterioration of the spine and my mobility has come back to where I can now do household tasks, go out to events, dining and visiting friends.  Started with 5mcg and gradually increased to 15mcg.  The side effects have been rough to deal with.  First the itching skin and then blistering. Swollen ankles.  Night sweats. Some of this is worse than others.  But how can I get this level of relief with something else?  I will find out about Kenalog spray recommended by another writer here.  Swollen ankles, elevate and ice.  Night sweats, do not sleep on the patch.  I keep hoping my body will adjust to the adhesive and medication after time.  I will keep using Butrans."""
Clotrimazole,Oral Thrush,10,"""I was given Clotramizole tablets to treat thrush that developed from taken prednisone for aphthous ulcers. Cleared the thrush within 5 days. Prescription was 5 tablets a day for 14 days. My dentist states he has only prescribed this one other time, his usual go to is Nystatin (was not working for me). 0 side effects experienced. I personally recommend these tablets based off of my experience taking them."""
Mesalamine,"Ulcerative Colitis, Active",10,"Lialda (mesalamine)""I was diagnosed with ulcerative colitis a year ago after suffering for months. Lialda worked to stop my diarrhea practically overnight.  I have not had a flair or really any symptoms since starting this medication nearly a year ago.  I highly recommend it.  Much better than taking Asacol four times a day.  Once a day Lialda is much better."""
Emgality,Migraine Prevention,1,"""I took the loading dose of Emgality last December and I'm still fighting the HORRIBLE side effects of this drug. I have had the most MADDENING ITCHY rash and hives all over my back, arms and legs and my face! I'm talking about so itchy that I can hardly sit still without trying to literally tear off my skin. I've seen 5 doctors and I've had 4 rounds of steroids and I've had 2 rounds of antibiotics due to leg infections from scratching. I've also experienced severe leg swelling, abdominal bloating and constipation. I'm also so fatigued and have to sleep during the afternoon to get through the day. I can't wait until this drug is out of my system. I would rather have a migraine every day than deal with these side effects. RUN from Emgality and then RUN some more."""
Varenicline,Smoking Cessation,9,"Chantix (varenicline)""I have been a pack a day smoker for over 20 years. Previuosly I've quit successfully on the patch and Zyban. Recently, I had a dream that I was told I had lung cancer and it was so vivid I called my doctor and started taking Chantix. It's now week 5 and I'm smoke free and feel great. Only side affects are ocasional nausea and vivid dreams, ironic and no problem. You still have to be motivated to get past the cravings, but Chantix takes the Nicotine punch out of quitting so its bearable. """
Junel,Birth Control,9,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone)""I was on Loestrin 24 FE for years until they stopped making samples of it, and it was too expensive to buy. My doctor switched me to this pill. I lost 15-20 lbs, moods have been more stable and my sex drive has increased dramatically! The only con was i did break out really bad when I first switched, but now I'm on my 3rd pack and I'm getting my breakouts under control. I'm amazed at the weight I lost and didn't realize I gained it from my old birth control.. This is my new favourite!"""
Pristiq,Depression,7,"""I haven't been taking it long, actually just weening off one antidepressant onto Pristiq and am already feeling better. I've been fighting depression for years with all kinds of anti-depressants. This one gives me hope."""
Cymbalta,Chronic Pain,10,"""For nine years I had lower back pain due to a bulging disk. I also had aches/discomfort in the left hip that caused me to walk with a limp. My doctor prescribed Cymbalta for chronic pain and a few days later I noticed that the hip aches/discomfort and back pain were gone. I no longer walk with a limp! Very minor side effects."""
Junel,Birth Control,10,"Blisovi 24 Fe (ethinyl estradiol / norethindrone)""Love this medication, have had absolutely no bad side effects with it. Actually lost weight and have less acne. Minimal cramping, and very light periods. Just shows how it is different for everyone!"""
Oseltamivir,Influenza,3,"Tamiflu (oseltamivir)""High fever and body aches began on Monday.  Went to doc Tues morning and tested positive for Type A flu. Was prescribed Tamiflu and took first dose early Tues afternoon. My fever ceased by Weds morning, but the pain in my head began to increase dramatically. It's Thursday and I now have diarrhea and am extremely nauseas. I could not sleep last night at all. The pain in my head was unbearable. I decided to take one of my migraine pills to see if it worked as I could not take it anymore. It relieved it slightly. My mouth tastes horrible and I think it is what is making me even more nauseous. Doc sent med for my young girls for prevention since they were exposed to the virus as well. They have not had any side effects. I do not think I am going to take my doses today. I cannot continue with this nausea and headache."""
Oxycodone,Pain,1,"Xtampza ER (oxycodone)""Takes too long to work... no matter what you eat... Don't waste your time."""
Liletta,Birth Control,10,"""I got Lilletta in March (8 months ago) for just $30 at my local health dept. The insertion was very painful and I did have cramping for a few days afterward. My periods were pretty normal the first few months, and now I haven't even had a period for the past two months (which is great!) Besides the insertion pain, I am really liking Lilletta. It does its job. I have never had children, so I'm guessing that may be why the insertion pain was so bad. I will probably get it out before the 3 years are over, because I am newly married and wanting to get pregnant sometime next year."""
Annovera,Birth Control,3,"""I’ve been using this vaginal ring for 6 months and everything was fine AT FIRST. My gynecologist switched me to this one from nuvaring which I loved but got rid of my sex drive. At first I had no side effects besides slight nausea the first two days after I insert. After 4 months of use, the nausea persisted sometimes with a headache accommodating it and the most excruciating cramps of my life! Prior to using birth control, my periods have always been awesome. Light flow that lasted 3-4 days and minor to no cramping at all. Now after being on annovera, I always get my period 2 days after removal (a necessary plus so I can predict and prepare for it) but the cramps are so bad. Like I just want to lay in the fetal position and can't do anything. I can’t walk, I can’t even take a deep breath in. It’s the worse. I plan on discontinuing use because of the cramps. It works though. No pregnancy scares, sex drive remained the same, no depression. I’ve actually never felt calmer but the cramps are bad"""
Concerta,ADHD,10,"""Better than Ritalin. """
